dir_name,subdir_num,table_num,time_delta,width_upper,height_upper,cell_width,cell_height,cell_same_size,Valid,Note
Data\000408,1,1,25,800,900,23,9,False,False,table cell is unhandled size
Data\000411,1,1,0,800,900,58,11,False,True,
Data\001742,1,1,3,800,800,61,13,True,True,
Data\002456,1,1,98,800,900,,,,False,table image is jpg format
Data\002555,1,1,0,800,900,,,,False,table image is jpg format
Data\003262,1,1,95,800,900,,,,False,table image is jpg format
Data\003615,1,1,11,800,900,,,,False,table image is jpg format
Data\003670,1,1,126,800,900,,,,False,table image is jpg format
Data\004151,1,1,35,800,900,77,25,True,False,table cell is unhandled size
Data\004359,1,1,23,1900,2000,35,13,True,False,tooth image is high-resolution table cell is unhandled size
Data\004499,1,1,8,800,900,61,11,False,True,
Data\005627,1,1,50,800,900,61,13,True,True,
Data\007274,1,1,20,800,900,59,13,True,True,
Data\007501,1,1,46,800,900,61,13,True,True,
Data\008908,1,1,-129,800,800,56,12,False,True,
Data\010801,1,1,22,800,900,61,13,True,True,
Data\0109363,1,1,55,800,900,61,13,True,True,
Data\010953,1,1,27,800,800,61,13,True,True,
Data\014185,1,1,47,800,900,61,13,True,True,
Data\014735,1,1,3687,800,900,61,13,True,True,
Data\014783,1,1,169,800,900,61,13,True,True,
Data\015441,1,1,81,800,900,61,13,True,True,
Data\016057,1,1,26,800,900,61,13,True,True,
Data\016165,1,1,98,800,900,61,13,True,True,
Data\016649,1,1,17,800,900,61,13,True,True,
Data\017070,1,1,30,800,900,61,13,True,True,
Data\017374,1,1,0,800,900,61,13,True,True,
Data\017635,1,1,28,800,900,61,13,True,True,
Data\018526,1,1,55,800,900,61,13,True,True,
Data\019462,1,1,17,800,900,61,13,True,True,
Data\019660,1,1,42,800,900,61,13,True,True,
Data\019747_1,1,1,162,800,900,61,13,True,True,
Data\019747_2,1,1,-8,800,900,61,13,True,True,
Data\021033,1,1,8,800,900,61,13,True,True,
Data\021271,1,1,8,800,900,61,13,True,True,
Data\022198_1,1,1,148,900,900,61,13,True,True,
Data\022198_2,1,1,-21,900,900,61,13,True,True,
Data\022702,1,1,7,800,900,61,13,True,True,
Data\024090,1,1,27,800,900,61,13,True,True,
Data\025179_1,1,1,26,800,900,61,13,True,True,
Data\025179_2,1,1,92,800,900,61,13,True,True,
Data\025271,1,1,47,800,900,61,13,True,True,
Data\025575,1,1,11,800,900,61,13,True,True,
Data\026071,1,1,46,800,900,61,13,True,True,
Data\026110_1,1,1,48,800,900,61,13,True,True,
Data\026110_2,1,1,-43,800,900,61,13,True,True,
Data\026118_1,1,1,-14,800,900,61,13,True,True,
Data\026118_2,1,1,-56,800,900,61,13,True,True,
Data\026127,1,1,14,800,900,61,13,True,True,
Data\026545,1,1,127,800,900,61,13,True,True,
Data\026550,1,1,21,800,900,61,13,True,True,
Data\026610,1,1,16,800,900,61,13,True,True,
Data\027035,1,1,147,800,900,61,13,True,True,
Data\027098,1,1,20,800,900,61,13,True,True,
Data\028492,1,1,85,800,900,61,13,True,True,
